Accident_Index,Date,Speed_Limit,Road_Type,Urban_or_Rural_Area,Weather_Conditions,Light_Conditions,Road_Surface_Conditions,Casualties,Severity,District,Latitude,Longitude,Vehicle_Type
ACC2021000000,2021-04-13,50,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Leeds,53.7831727592942,-1.5255743717001347,Car
ACC2021000001,2022-03-12,30,Single carriageway,Rural,Fine no high winds,Dark,Dry,3,Serious,Cornwall,50.208547259094146,-5.039295276003879,Car
ACC2021000002,2021-09-28,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Manchester,53.497318505319285,-2.308593189439982,Car
ACC2021000003,2021-04-17,40,Single carriageway,Rural,Fine no high winds,Dark,Dry,1,Serious,Birmingham,52.54337695257649,-1.8199816721213151,Car
ACC2021000004,2021-03-13,30,Single carriageway,Urban,Fine no high winds,Day,Dry,1,Slight,Kirklees,53.709614186343835,-1.7642525944580971,Car
ACC2021000005,2022-12-02,30,Roundabout,Urban,Fine no high winds,Dark,Dry,1,Slight,Birmingham,52.541448113592246,-1.8982800483400637,Car
ACC2021000006,2021-01-21,30,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Cornwall,50.332802972037534,-5.045997543365355,Car
ACC2021000007,2022-09-07,30,One way street,Urban,Fine no high winds,Day,Snow,2,Slight,Leeds,53.73973188972224,-1.5712805727399464,Car
ACC2021000008,2021-05-02,30,Single carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Slight,Leeds,53.81278193974504,-1.5433655576312253,Car
ACC2021000009,2022-04-12,30,Single carriageway,Urban,Fine no high winds,Day,Wet or damp,1,Slight,Manchester,53.44577644281342,-2.2032788310205973,Car
ACC2021000010,2021-08-03,30,Single carriageway,Rural,Fine no high winds,Dark,Wet or damp,1,Slight,Bradford,53.829346967832414,-1.7792472577369371,Car
ACC2021000011,2021-11-27,30,Single carriageway,Rural,Fine no high winds,Day,Wet or damp,1,Slight,Leeds,53.74410439333577,-1.5287042727533375,Car
ACC2021000012,2022-04-04,40,Single carriageway,Rural,Fine no high winds,Day,Dry,1,Slight,Bradford,53.78137787578643,-1.7765165404736813,Car
ACC2021000013,2021-03-29,70,Single carriageway,Urban,Fine no high winds,Dark,Dry,1,Slight,Cornwall,50.22963422713029,-5.010505533520973,Car
